Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
SKF Group,8.914,8.501,0.4654,9.522,1282,Industrials,Other Industrial Equipment,Europe,Sweden,2017
GAIL India,10.181,8.322,0.3439,11.036,1283,Utilities,Natural Gas Utilities,Asia,India,2017
PulteGroup,7.381,7.591,0.5977,10.178,1284,Industrials,Construction Services,North America,United States,2017
Signature Bank,7.592,1.365,0.3963,39.2,1284,Financials,Regional Banks,North America,United States,2017
AGL Energy,13.804,8.608,0.2721,10.704,1286,Utilities,Electric Utilities,Australia,Australia,2017
Latam Airlines,7.965,8.985,0.0718,19.198,1286,Industrials,Airline,South America,Chile,2017
AutoNation,4.051,21.609,0.4305,10.282,1288,Consumer Discretionary,Specialty Stores,North America,United States,2017
Doosan,1.609,14.3,-0.1473,23.733,1289,Industrials,Construction Services,Asia,South Korea,2017
Transocean,4.859,4.161,0.765,26.889,1290,Energy,Oil Services & Equipment,Europe,Switzerland,2017
Hua Nan Financial,5.806,1.787,0.4368,78.995,1291,Financials,Consumer Financial Services,Asia,Taiwan,2017
KT&G,11.215,3.882,1.0613,8.124,1292,Consumer Staples,Tobacco,Asia,South Korea,2017
LKQ,8.649,8.909,0.4575,8.303,1293,Consumer Discretionary,Auto & Truck Parts,North America,United States,2017
Equity Residential,23.142,2.388,0.2323,20.704,1294,Financials,Real Estate,North America,United States,2017
Amorepacific,14.11,4.866,0.551,4.29,1295,Consumer Staples,Household/Personal Care,Asia,South Korea,2017
Iida Group Holdings,4.307,11.138,0.715,9.607,1295,Industrials,Construction Services,Asia,Japan,2017
Gecina,8.687,0.668,0.8999,13.022,1297,Financials,Real Estate,Europe,France,2017
Edwards Lifesciences,19.949,2.964,0.5695,4.51,1298,Health Care,Medical Equipment & Supplies,North America,United States,2017
Medipal Holdings,3.677,28.215,0.2959,13.479,1299,Health Care,Pharmaceuticals,Asia,Japan,2017
Bunzl,9.757,10.024,0.3588,5.649,1300,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,2017
El Puerto de Liverpool,11.78,5.373,0.5452,7.203,1301,Consumer Discretionary,Department Stores,North America,Mexico,2017
Vicinity Centres,8.591,1.013,1.0743,11.671,1301,Financials,Real Estate,Australia,Australia,2017
Delta Lloyd,2.636,6.458,0.2558,80.011,1303,Financials,Diversified Insurance,Europe,Netherlands,2017
Eisai,14.907,4.884,0.5065,8.92,1304,Health Care,Pharmaceuticals,Asia,Japan,2017
Marks & Spencer,6.783,15.04,0.3564,10.722,1305,Consumer Discretionary,Department Stores,Europe,United Kingdom,2017
Pioneer Natural Resources,32.233,3.95,-0.557,16.459,1306,Energy,Oil & Gas Operations,North America,United States,2017
Arab Bank,5.657,2.373,0.5222,47.46,1307,Financials,Regional Banks,Asia,Jordan,2017
Foncière des Régions,6.296,1.05,0.8659,20.648,1308,Financials,Real Estate,Europe,France,2017
Sino-Ocean Land Holdings,3.704,5.391,0.5718,21.766,1308,Financials,Real Estate,Asia,China,2017
Nippon Express,4.778,17.069,0.3408,13.195,1310,Industrials,Trucking,Asia,Japan,2017
Dxc Technology,21.518,7.525,-0.101,8.302,1311,Consumer Discretionary,Business & Personal Services,North America,United States,2017
Nordstrom,7.43,14.758,0.354,7.858,1312,Consumer Discretionary,Apparel/Footwear Retail,North America,United States,2017
Pandora,11.75,3.013,0.8952,2.14,1312,Consumer Staples,Household/Personal Care,Europe,Denmark,2017
GKN,7.578,11.904,0.3265,11.075,1314,Consumer Discretionary,Auto & Truck Parts,Europe,United Kingdom,2017
Ajinomoto,10.876,10.073,0.2584,11.387,1315,Consumer Staples,Food Processing,Asia,Japan,2017
BNK Financial Group,2.649,3.325,0.4246,77.399,1316,Financials,Regional Banks,Asia,South Korea,2017
Founder Securities,10.083,1.213,0.3867,21.921,1317,Financials,Investment Services,Asia,China,2017
Vedanta Resources,2.761,9.896,-1.5242,29.966,1318,Materials,Diversified Metals & Mining,Europe,United Kingdom,2017
Petronas Chemicals,14.034,3.346,0.7077,7.321,1319,Materials,Specialized Chemicals,Asia,Malaysia,2017
Magnitogorsk Iron & Steel,6.976,5.58,1.0961,6.223,1320,Materials,Iron & Steel,Asia,Russia,2017
Cintas,12.892,5.144,0.5013,4.271,1321,Consumer Discretionary,Business & Personal Services,North America,United States,2017
Dassault Systemes,22.16,3.38,0.4947,7.323,1321,Information Technology,Software & Programming,Europe,France,2017
Quinenco,4.301,6.848,0.1167,54.623,1323,Industrials,Conglomerates,South America,Chile,2017
Nippon Yusen,3.477,17.672,-2.1229,17.796,1324,Industrials,Other Transportation,Asia,Japan,2017
BRF,9.316,9.677,-0.1068,13.755,1325,Consumer Staples,Food Processing,South America,Brazil,2017
Hasbro,11.969,5.012,0.5514,5.091,1325,Consumer Discretionary,Recreational Products,North America,United States,2017
Illumina,25.167,2.398,0.4641,4.281,1327,Health Care,Biotechs,North America,United States,2017
Kawasaki Heavy Industries,4.948,13.976,0.317,15.419,1328,Industrials,Heavy Equipment,Asia,Japan,2017
Digital Realty Trust,17.333,2.137,0.4262,12.193,1329,Financials,Real Estate,North America,United States,2017
Alcoa,6.213,15.125,0.02,16.741,1330,Materials,Aluminum,North America,United States,2017
Chugoku Electric Power,4.041,11.011,0.2459,25.771,1331,Utilities,Electric Utilities,Asia,Japan,2017
Koito Manufacturing,8.054,7.553,0.52,5.437,1331,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,2017
AmTrust Financial Services,3.23,5.577,0.4852,23.086,1333,Financials,Property & Casualty Insurance,North America,United States,2017
Juniper Networks,10.568,4.99,0.6012,9.656,1334,Information Technology,Communications Equipment,North America,United States,2017
United Utilities,8.475,2.449,0.6077,15.94,1335,Utilities,Diversified Utilities,Europe,United Kingdom,2017
Red Eléctrica,10.742,2.138,0.7046,11.128,1336,Utilities,Electric Utilities,Europe,Spain,2017
RusHydro,6.012,5.584,0.6001,16.252,1337,Utilities,Electric Utilities,Asia,Russia,2017
Kobe Steel,3.164,15.52,-0.4066,18.93,1338,Materials,Iron & Steel,Asia,Japan,2017
Wyndham Worldwide,8.872,5.599,0.612,9.819,1338,Consumer Discretionary,Hotels & Motels,North America,United States,2017
MOL Hungarian Oil,7.268,12.464,-0.7401,14.669,1340,Energy,Oil & Gas Operations,Europe,Hungary,2017
Cathay Pacific Airways,5.691,11.949,-0.0741,22.884,1341,Industrials,Airline,Asia,Hong Kong,2017
JetBlue Airways,7.038,6.632,0.75,9.487,1341,Industrials,Airline,North America,United States,2017
Agilent Technologies,17.03,4.241,0.507,7.872,1343,Information Technology,Electronics,North America,United States,2017
Wolters Kluwer,11.857,4.753,0.5409,9.903,1343,Consumer Discretionary,Printing & Publishing,Europe,Netherlands,2017
Arkema,7.672,8.335,0.4723,9.734,1345,Materials,Diversified Chemicals,Europe,France,2017
Ezdan Holding Group,11.512,0.538,0.4978,13.684,1346,Financials,Real Estate,Asia,Qatar,2017
JSW Steel,7.512,7.262,0.4073,12.834,1347,Materials,Iron & Steel,Asia,India,2017
