Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
Bankinter,6.859,2.209,0.4081,63.722,1156,Financials,Regional Banks,Europe,Spain,Spain,,María Treviño,http://www.forbes.com/companies/bankinter/,0.00640438153228085,0.184744228157537
Belgacom,11.505,6.591,0.5345,8.998,1157,Telecommunication Services,Telecommunications services,Europe,Belgium,Belgium,,Dominique Leroy,http://www.forbes.com/companies/belgacom/,0.0594020893531896,0.0810954331664391
Givaudan,18.07,4.565,0.6595,6.276,1158,Consumer Staples,Household/Personal Care,Europe,Switzerland,Switzerland,,Gilles Andrier,http://www.forbes.com/companies/givaudan/,0.105082855321861,0.14446878422782
Kintetsu,8.016,10.037,0.2976,16.133,1158,Industrials,Railroads,Asia,Japan,Japan,,Tetsuya Kobayashi,http://www.forbes.com/companies/kintetsu/,0.0184466621211182,0.0296502939125237
Idemitsu Kosan,3.396,31.786,-0.8948,21.612,1160,Energy,Oil & Gas Operations,Asia,Japan,Japan,,Kazuhisa Nakano,http://www.forbes.com/companies/idemitsu-kosan/,-0.0414029243013141,-0.0281507581954319
First Financial Holding,5.569,1.821,0.5041,76.113,1161,Financials,Regional Banks,Asia,Taiwan,Taiwan,,M Jeng,http://www.forbes.com/companies/first-financial-holding/,0.00662304731123461,0.276825919824272
Fortescue Metals Group,8.083,7.04,0.3179,20.372,1161,Materials,Iron & Steel,Australia,Australia,Australia,,Neville Power,http://www.forbes.com/companies/fortescue-metals-group/,0.0156047516198704,0.04515625
Shin Kong Financial,2.007,8.83,0.182,90.2,1161,Financials,Life & Health Insurance,Asia,Taiwan,Taiwan,,Tung Wu,http://www.forbes.com/companies/shin-kong-financial/,0.00201773835920177,0.0206115515288788
Shenzhen Overseas,8.568,4.116,0.7154,16.225,1164,Consumer Discretionary,Hotels & Motels,Asia,China,China,,Ping Liu,http://www.forbes.com/companies/shenzhen-overseas/,0.0440924499229584,0.173809523809524
Lixil Group,6.805,14.949,-0.0539,18.419,1165,Materials,Construction Materials,Asia,Japan,Japan,,Yoshiaki Fujimori,http://www.forbes.com/companies/lixil-group/,-0.00292632607633422,-0.0036055923473142
Community Health Systems,2.371,19.437,0.163,26.861,1166,Health Care,Healthcare Services,North America,United States,Tennessee,Tennessee,Wayne Smith,http://www.forbes.com/companies/community-health-sys/,0.00606827742824169,0.00838606780881823
China Cosco Holdings,8.07,9.143,0.0504,22.821,1167,Industrials,Other Transportation,Asia,China,China,,Li Jiang,http://www.forbes.com/companies/china-cosco-holdings/,0.00220849217825687,0.0055124138685333
NRG Energy,4.486,15.013,-6.382,32.882,1167,Utilities,Electric Utilities,North America,United States,New Jersey,New Jersey,Mauricio Gutierrez,http://www.forbes.com/companies/nrg-energy/,-0.194087950854571,-0.425098248184906
Autoliv,9.938,9.17,0.4568,7.526,1169,Consumer Discretionary,Auto & Truck Parts,Europe,Sweden,Sweden,,Jan Carlson,http://www.forbes.com/companies/autoliv/,0.0606962529896359,0.049814612868048
Electronic Arts,20.374,4.292,0.652,6.47,1170,Consumer Discretionary,Recreational Products,North America,United States,California,California,Andrew Wilson,http://www.forbes.com/companies/electronic-arts/,0.100772797527048,0.151910531220876
American Water Works,12.32,3.159,0.4759,17.241,1171,Utilities,Diversified Utilities,North America,United States,New Jersey,New Jersey,Susan Story,http://www.forbes.com/companies/american-water-works/,0.0276028072617598,0.150648939537828
Perrigo,17.378,5.35,-0.0329,19.394,1172,Health Care,Pharmaceuticals,Europe,Ireland,Ireland,,John Hendrickson,http://www.forbes.com/companies/perrigo/,-0.00169640094874704,-0.00614953271028037
Roper Industries,18.053,3.582,0.6961,10.168,1172,Industrials,Other Industrial Equipment,North America,United States,Florida,Florida,Brian Jellison,http://www.forbes.com/companies/roper-inds/,0.0684598741148702,0.194332774986041
Noble Group,2.245,66.589,-1.7428,17.196,1174,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,Yusuf Alireza,http://www.forbes.com/companies/noble-group/,-0.101349150965341,-0.026172490951959
BorgWarner,8.397,8.024,0.6097,8.842,1175,Consumer Discretionary,Auto & Truck Parts,North America,United States,Michigan,Michigan,James Verrier,http://www.forbes.com/companies/borgwarner/,0.0689549875593757,0.0759845463609173
Zijin Mining Group,9.706,11.715,0.2658,12.923,1175,Materials,Diversified Metals & Mining,Asia,China,China,,Jing Chen,http://www.forbes.com/companies/zijin-mining-group/,0.020567979571307,0.0226888604353393
Qatar Islamic Bank,6.513,1.042,0.5552,36.083,1177,Financials,Regional Banks,Asia,Qatar,Qatar,,Bassel Mohamed Ali,http://www.forbes.com/companies/qatar-islamic-bank/,0.0153867472216833,0.532821497120921
Tata Steel,5.164,18.718,-0.8585,25.158,1178,Materials,Iron & Steel,Asia,India,India,,Cyrus Mistry,http://www.forbes.com/companies/tata-steel/,-0.0341243342078067,-0.0458649428357731
Wuliangye Yibin,15.668,3.162,0.9827,8.092,1179,Consumer Staples,Beverages,Asia,China,China,,Lin Chen,http://www.forbes.com/companies/wuliangye-yibin/,0.121440929312902,0.31078431372549
Alaska Air Group,9.518,5.598,0.848,6.533,1180,Industrials,Airline,North America,United States,Washington,Washington,Bradley Tilden,http://www.forbes.com/companies/alaska-air-group/,0.129802540945967,0.151482672382994
Uniqa,2.2,7.282,0.3671,34.994,1181,Financials,Diversified Insurance,Europe,Austria,Austria,,Andreas Brandstetter,http://www.forbes.com/companies/uniqa/,0.0104903697776762,0.0504119747322164
Hoya,15.949,4.225,0.7714,5.833,1182,Information Technology,Electronics,Asia,Japan,Japan,,Hiroshi Suzuki,http://www.forbes.com/companies/hoya/,0.132247557003257,0.182579881656805
Popular,3.113,2.145,0.8953,35.77,1183,Financials,Regional Banks,North America,United States,,,Richard Carrión Rexach,http://www.forbes.com/companies/popular/,0.0250293542074364,0.417389277389277
Industrial Securities,8.705,2.481,0.663,17.528,1184,Financials,Investment Services,Asia,China,China,,Rong Lan,http://www.forbes.com/companies/industrial-securities/,0.0378251939753537,0.267230955259976
Oriental Land,25.737,3.871,0.6155,6.454,1185,Consumer Discretionary,Hotels & Motels,Asia,Japan,Japan,,Toshio Kagami,http://www.forbes.com/companies/oriental-land/,0.0953672141307716,0.159002841642986
Doosan,1.972,16.777,-0.3457,26.913,1186,Industrials,Construction Services,Asia,South Korea,South Korea,,"Jung-Won Park,",http://www.forbes.com/companies/doosan/,-0.0128450934492624,-0.0206055909876617
Brenntag,8.819,11.473,0.4048,7.71,1187,Materials,Specialized Chemicals,Europe,Germany,Germany,,Steven Holland,http://www.forbes.com/companies/brenntag/,0.0525032425421531,0.0352828379674017
Vienna Insurance Group,2.914,10.396,0.108,48.183,1188,Financials,Diversified Insurance,Europe,Austria,Austria,,Elisabeth Stadler,http://www.forbes.com/companies/vienna-insurance-group/,0.00224145445489073,0.0103886110042324
Banco Popolare,2.542,3.9,0.4769,130.91,1189,Financials,Regional Banks,Europe,Italy,Italy,,Pier Saviotti,http://www.forbes.com/companies/banco-popolare/,0.00364296081277213,0.122282051282051
CA,12.578,4.039,0.752,10.857,1190,Information Technology,Software & Programming,North America,United States,New York,New York,Michael Gregoire,http://www.forbes.com/companies/ca/,0.0692640692640693,0.186184699182966
Renesas Electronics,10.095,5.846,0.7025,7.172,1191,Information Technology,Semiconductors,Asia,Japan,Japan,,Takao Endo,http://www.forbes.com/companies/renesas-electronics/,0.0979503625209147,0.120167635990421
CenterPoint Energy,8.961,7.433,-0.692,21.899,1192,Utilities,Electric Utilities,North America,United States,Texas,Texas,Scott Prochazka,http://www.forbes.com/companies/centerpoint-energy/,-0.0315996164208411,-0.0930983452172743
E-Trade Financial,7.307,1.551,0.381,47.943,1193,Financials,Investment Services,North America,United States,New York,New York,Paul Idzik,http://www.forbes.com/companies/e-trade-financial/,0.00794693698767286,0.245647969052224
Top Frontier Investment Holdings,1.149,14.887,0.0038,29.108,1194,,,Asia,Philippines,Philippines,,Ramon Ang,http://www.forbes.com/companies/top-frontier-investment-holdings/,0.000130548302872063,0.00025525626385437
Paychex,18.824,2.89,0.7399,7.068,1195,Consumer Discretionary,Business & Personal Services,North America,United States,New York,New York,Martin Mucci,http://www.forbes.com/companies/paychex/,0.104683078664403,0.256020761245675
Vedanta Resources,1.658,12.12,-2.1068,36.407,1196,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Tom Albanese,http://www.forbes.com/companies/vedanta-resources/,-0.0578679924190403,-0.173828382838284
Restaurant Brands International,9.212,4.051,0.5129,18.408,1197,Consumer Discretionary,Restaurants,North America,Canada,Canada,,Daniel Schwartz,http://www.forbes.com/companies/restaurant-brands-international/,0.0278628857018688,0.126610713404098
Caesars Entertainment,1.073,4.654,5.92,12.195,1198,Consumer Discretionary,Casinos & Gaming,North America,United States,Nevada,Nevada,Mark Frissora,http://www.forbes.com/companies/caesars-entertainment/,0.485444854448544,1.27202406532015
ITV,13.146,4.541,0.7563,4.529,1198,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,United Kingdom,,Adam Crozier,http://www.forbes.com/companies/itv/,0.166990505630382,0.166549218233869
GS Holdings,4.679,10.869,0.4349,16.224,1200,Energy,Oil & Gas Operations,Asia,South Korea,South Korea,,"Chang-Soo Huh,",http://www.forbes.com/companies/gs-holdings/,0.026805966469428,0.0400128806697948
Hyundai Engineering,3.846,16.895,0.3251,16.595,1201,Industrials,Construction Services,Asia,South Korea,South Korea,,Soo-Hyun Jung,http://www.forbes.com/companies/hyundai-engineering/,0.0195902380235011,0.01924237940219
Jiangxi Copper,6.259,29.392,0.1046,13.822,1201,Materials,Diversified Metals & Mining,Asia,China,China,,Yi Li,http://www.forbes.com/companies/jiangxi-copper/,0.00756764578208653,0.0035587915078933
Shinsei Bank,4,2.264,0.5256,77.556,1203,Financials,Regional Banks,Asia,Japan,Japan,,Shigeki Toma,http://www.forbes.com/companies/shinsei-bank/,0.00677703852699984,0.232155477031802
China Hongqiao Group,5.307,7.022,0.5837,16.391,1204,Materials,Aluminum,Asia,China,China,,Bo Zhang,http://www.forbes.com/companies/china-hongqiao-group/,0.0356110060399,0.0831244659641128
Banca Mediolanum,5.93,1.879,0.4864,48.493,1205,Financials,Life & Health Insurance,Europe,Italy,Italy,,Massimo Doris,http://www.forbes.com/companies/banca-mediolanum/,0.010030313653517,0.258861096327834
Banco Popular Espanol,6.218,5.206,0.1169,172.341,1206,Financials,Regional Banks,Europe,Spain,Spain,,Francisco Martín,http://www.forbes.com/companies/banco-popular-espanol/,0.000678306380954039,0.0224548597771802
Grifols,13.642,4.363,0.5901,10.43,1207,Health Care,Biotechs,Europe,Spain,Spain,,Víctor Roura,http://www.forbes.com/companies/grifols/,0.0565771812080537,0.13525097410039
Rockwell Collins,11.719,5.157,0.668,7.541,1208,Industrials,Aerospace & Defense,North America,United States,Iowa,Iowa,Robert Ortberg,http://www.forbes.com/companies/rockwell-collins/,0.0885824161251823,0.129532674035292
Tenet Healthcare,3.232,18.638,-0.14,23.682,1208,Health Care,Healthcare Services,North America,United States,Texas,Texas,Trevor Fetter,http://www.forbes.com/companies/tenet-healthcare/,-0.00591166286631197,-0.00751153557248632
Intuitive Surgical,24.288,2.384,0.5888,4.907,1210,Health Care,Medical Equipment & Supplies,North America,United States,California,California,Gary Guthart,http://www.forbes.com/companies/intuitive-surgical/,0.119991848379865,0.246979865771812
Cerner,19.77,4.425,0.5394,5.562,1211,Health Care,Healthcare Services,North America,United States,Missouri,Missouri,Neal Patterson,http://www.forbes.com/companies/cerner/,0.0969795037756203,0.121898305084746
Masraf Al Rayan,7.168,0.696,0.5767,24.014,1212,Financials,Regional Banks,Asia,Qatar,Qatar,,Adel Mustafawi,http://www.forbes.com/companies/masraf-al-rayan/,0.0240151578246023,0.828591954022989
SKF Group,8.257,9.008,0.4599,9.458,1213,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,,Alrik Danielson,http://www.forbes.com/companies/skf-group/,0.0486255022203426,0.0510546181172291
Antero Resources,7.96,2.43,0.9414,14.155,1214,,,North America,United States,Colorado,Colorado,Paul Rady,http://www.forbes.com/companies/antero-resources/,0.0665065347933592,0.387407407407407
Starwood Hotels,13.394,5.765,0.489,8.268,1214,Consumer Discretionary,Hotels & Motels,North America,United States,Connecticut,Connecticut,Thomas Mangas,http://www.forbes.com/companies/starwood-hotels/,0.0591436865021771,0.0848222029488291
KT&G,14.811,3.566,0.8742,7.591,1216,Consumer Staples,Tobacco,Asia,South Korea,South Korea,,Bok-In Baek,http://www.forbes.com/companies/ktg/,0.115162692662363,0.245148625911385
Brown-Forman,19.259,3.047,0.686,4.333,1217,Consumer Staples,Beverages,North America,United States,Kentucky,Kentucky,Paul Varga,http://www.forbes.com/companies/brown-forman/,0.158319870759289,0.225139481457171
Shizuoka Bank,5.409,1.75,0.4387,92.096,1217,Financials,Regional Banks,Asia,Japan,Japan,,Katsunori Nakanishi,http://www.forbes.com/companies/shizuoka-bank/,0.00476350764419736,0.250685714285714
Severstal,10.363,6.345,0.5458,6.018,1219,Materials,Iron & Steel,Asia,Russia,Russia,,Vadim Larin,http://www.forbes.com/companies/severstal/,0.0906945829179129,0.0860204885736801
Dangote Cement,13.786,2.483,0.9341,5.581,1220,Materials,Construction Materials,Africa,Nigeria,Nigeria,,Onne der Weijde,http://www.forbes.com/companies/dangote-cement/,0.167371438810249,0.376198147402336
Jiangsu Yanghe Brewery,15.513,2.539,0.8012,5.02,1220,Consumer Staples,Beverages,Asia,China,China,,Shoubing Wang,http://www.forbes.com/companies/jiangsu-yanghe-brewery/,0.159601593625498,0.315557306025994
Skyworks Solutions,13.594,3.38,0.9584,3.93,1222,Information Technology,Semiconductors,North America,United States,Massachusetts,Massachusetts,Liam Griffin,http://www.forbes.com/companies/skyworks-solutions/,0.243867684478372,0.283550295857988
Julius Baer Group,9.371,3.157,0.1259,84.031,1223,Financials,Regional Banks,Europe,Switzerland,Switzerland,,Boris Collardi,http://www.forbes.com/companies/julius-baer-group/,0.00149825659578013,0.0398796325625594
Ayala Corporation,10.462,3.822,0.4893,16.916,1224,Industrials,Conglomerates,Asia,Philippines,Philippines,,Jaime Zobel de Ayala,http://www.forbes.com/companies/ayala/,0.0289252778434618,0.128021978021978
CJ Corp,5.401,18.702,0.1818,20.095,1225,Consumer Staples,Food Processing,Asia,South Korea,South Korea,,Chae-Wook Lee,http://www.forbes.com/companies/cj-corp/,0.00904702662353819,0.00972088546679499
Hebei Iron & Steel,5.25,13.441,0.1132,26.675,1226,Materials,Iron & Steel,Asia,China,China,,Gui Li,http://www.forbes.com/companies/hebei-iron-steel/,0.00424367385192127,0.00842199241127892
Chiba Bank,4.83,1.708,0.4498,117.33,1227,Financials,Regional Banks,Asia,Japan,Japan,,Hidetoshi Sakuma,http://www.forbes.com/companies/chiba-bank/,0.00383363163726242,0.263348946135831
Bombardier,3.037,18.174,-5.4955,22.903,1228,Industrials,Aerospace & Defense,North America,Canada,Canada,,Alain Bellemare,http://www.forbes.com/companies/bombardier/,-0.239946731869187,-0.302382524485529
Hindalco Industries,3.133,16.934,0.1397,23.492,1228,Materials,Aluminum,Asia,India,India,,Debnarayan Bhattacharya,http://www.forbes.com/companies/hindalco-industries/,0.00594670526136557,0.00824967520963741
Monster Beverage,24.957,2.723,0.5467,5.675,1228,Consumer Staples,Beverages,North America,United States,California,California,Rodney Sacks,http://www.forbes.com/companies/monster-beverage/,0.0963348017621145,0.200771208226221
Global Logistic Properties,6.822,0.777,0.6478,22.465,1231,Financials,Real Estate,Asia,Singapore,Singapore,,Ming Mei,http://www.forbes.com/companies/global-logistic-properties/,0.0288359670598709,0.833719433719434
Rural Electrification,2.546,3.361,0.8741,30.168,1232,Utilities,Electric Utilities,Asia,India,India,,"Rajeev Sharma,",http://www.forbes.com/companies/rural-electrification/,0.02897440997083,0.26007140731925
Sun Art Retail Group,6.974,15.353,0.3896,8.548,1233,Consumer Staples,Food Retail,Asia,Hong Kong,Hong Kong,,Bruno Mercier,http://www.forbes.com/companies/sun-art-retail-group/,0.0455779129620964,0.0253761479841073
Analog Devices,18.13,3.433,0.6826,7.598,1234,Information Technology,Semiconductors,North America,United States,Massachusetts,Massachusetts,Vincent Roche,http://www.forbes.com/companies/analog-devices/,0.0898394314293235,0.198834838333819
Red Eléctrica,11.751,2.15,0.672,11.513,1235,Utilities,Electric Utilities,Europe,Spain,Spain,,Juan Lasala Bernad,http://www.forbes.com/companies/red-electrica/,0.0583688004864067,0.312558139534884
Sojitz,2.615,14.05,0.3145,18.067,1236,Industrials,Trading Companies,Asia,Japan,Japan,,Yoji Sato,http://www.forbes.com/companies/sojitz/,0.0174074279072342,0.0223843416370107
Signature Bank,7.526,1.208,0.3937,34.898,1237,Financials,Regional Banks,North America,United States,New York,New York,Joseph Depaolo,http://www.forbes.com/companies/signature-bank/,0.0112814487936271,0.32591059602649
Bunzl,9.996,9.915,0.3555,5.429,1238,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,,Frank van Zanten,http://www.forbes.com/companies/bunzl/,0.0654816724995395,0.0358547655068079
Foot Locker,8.221,7.412,0.541,3.775,1239,Consumer Discretionary,Apparel/Footwear Retail,North America,United States,New York,New York,Richard Johnson,http://www.forbes.com/companies/foot-locker/,0.143311258278146,0.0729897463572585
Manpower,5.852,19.375,0.4252,7.548,1239,Consumer Discretionary,Business & Personal Services,North America,United States,Wisconsin,Wisconsin,Jonas Prising,http://www.forbes.com/companies/manpower/,0.0563328033916269,0.0219458064516129
Amorepacific,20.751,4.212,0.5103,3.789,1241,Consumer Staples,Household/Personal Care,Asia,South Korea,South Korea,,Sang-Bae Shim,http://www.forbes.com/companies/amorepacific/,0.134679334916865,0.121153846153846
BPI,7.586,1.604,0.4005,32.239,1242,Financials,Regional Banks,Asia,Philippines,Philippines,,Cezar Consing,http://www.forbes.com/companies/bpi/,0.0124228418995626,0.249688279301746
Norsk Hydro,8.521,10.864,0.2502,13.845,1243,Materials,Aluminum,Europe,Norway,Norway,,Svein Brandtzæg,http://www.forbes.com/companies/norsk-hydro/,0.0180715059588299,0.0230301914580265
Barratt Developments,7.425,6.201,0.796,8.683,1244,Industrials,Construction Services,Europe,United Kingdom,United Kingdom,,Mark Clare,http://www.forbes.com/companies/barratt-developments/,0.0916733847748474,0.128366392517336
Tractor Supply,12.592,6.363,0.42,2.565,1245,Consumer Discretionary,Specialty Stores,North America,United States,Tennessee,Tennessee,Gregory Sandfort,http://www.forbes.com/companies/tractor-supply/,0.16374269005848,0.066006600660066
Genting,8.994,4.63,0.355,20.83,1246,Consumer Discretionary,Casinos & Gaming,Asia,Malaysia,Malaysia,,Kok Lim,http://www.forbes.com/companies/genting/,0.0170427268362938,0.0766738660907127
Starwood Property Trust,4.511,0.757,0.4473,85.738,1247,,,North America,United States,Connecticut,Connecticut,Barry Sternlicht,http://www.forbes.com/companies/starwood-property-trust/,0.0052170566143367,0.590885072655218
Eletrobrás,3.277,9.756,-4.3234,37.825,1248,Utilities,Electric Utilities,South America,Brazil,Brazil,,José Carvalho Neto,http://www.forbes.com/companies/eletrobras/,-0.114300066093853,-0.443152931529315
CDW,6.984,12.989,0.4031,6.755,1249,,,North America,United States,Illinois,Illinois,Thomas Richards,http://www.forbes.com/companies/cdw/,0.0596743153219837,0.0310339518053738
Ezdan Holding Group,14.372,0.505,0.4564,12.887,1250,Financials,Real Estate,Asia,Qatar,Qatar,,Ali Suleiman Al-Obaidli,http://www.forbes.com/companies/ezdan-holding-group/,0.0354155350353069,0.903762376237624
L-3 Communications,9.615,11.194,-0.24,12.085,1251,Industrials,Aerospace & Defense,North America,United States,New York,New York,Michael Strianese,http://www.forbes.com/companies/l-3-communications/,-0.019859329747621,-0.0214400571734858
Wyndham Worldwide,8.537,5.535,0.611,10.153,1252,Consumer Discretionary,Hotels & Motels,North America,United States,New Jersey,New Jersey,Stephen Holmes,http://www.forbes.com/companies/wyndham-worldwide/,0.060179257362356,0.110388437217705
Mead Johnson Nutrition,15.66,4.071,0.652,3.998,1253,Consumer Staples,Household/Personal Care,North America,United States,Illinois,Illinois,Peter Jakobsen,http://www.forbes.com/companies/mead-johnson-nutrition/,0.163081540770385,0.160157209530828
Colruyt,8.456,10.361,0.3798,4.354,1254,Consumer Staples,Food Retail,Europe,Belgium,Belgium,,Jef Colruyt,http://www.forbes.com/companies/colruyt/,0.0872301332108406,0.0366566933693659
UC Rusal,5.504,8.68,0.5583,11.855,1255,Materials,Aluminum,Asia,Russia,Russia,,Vladislav Soloviev,http://www.forbes.com/companies/uc-rusal/,0.0470940531421341,0.0643202764976959
Century Tokyo Leasing,3.81,7.489,0.3369,27.373,1256,Financials,Rental & Leasing,Asia,Japan,Japan,,Toshihito Tamba,http://www.forbes.com/companies/century-tokyo-leasing/,0.0123077485113068,0.0449859794365069
Hainan Airlines,5.842,5.587,0.4785,19.308,1257,Industrials,Airline,Asia,China,China,,Ming Hu,http://www.forbes.com/companies/hainan-airlines/,0.0247824735860783,0.0856452478969035
LKQ,10.187,7.193,0.4232,5.648,1258,Consumer Discretionary,Auto & Truck Parts,North America,United States,Illinois,Illinois,Robert Wagman,http://www.forbes.com/companies/lkq/,0.074929178470255,0.0588349784512721
Chow Tai Fook Jewellery,7.13,8.135,0.5572,7.715,1259,Consumer Discretionary,Apparel/Accessories,Asia,Hong Kong,Hong Kong,,Siu Wong,http://www.forbes.com/companies/chow-tai-fook-jewellery/,0.0722229423201555,0.0684941610325753
Caltex Australia,6.652,14.777,0.3913,3.714,1260,Energy,Oil & Gas Operations,Australia,Australia,Australia,,Julian Segal,http://www.forbes.com/companies/caltex-australia/,0.105358104469575,0.0264803410705827
Crown Holdings,7.545,8.657,0.428,9.94,1261,Materials,Containers & Packaging,North America,United States,Pennsylvania,Pennsylvania,Timothy Donahue,http://www.forbes.com/companies/crown-holdings/,0.0430583501006036,0.0494397597320088
AutoNation,5.102,21.037,0.427,9.558,1262,Consumer Discretionary,Specialty Stores,North America,United States,Florida,Florida,Michael Jackson,http://www.forbes.com/companies/autonation/,0.0446746181209458,0.0202975709464277
Kimco Realty,11.693,1.173,0.6149,11.344,1263,Financials,Real Estate,North America,United States,New York,New York,Conor Flynn,http://www.forbes.com/companies/kimco-realty/,0.0542048660084626,0.524211423699915
Origin Energy,7.301,7.863,-0.6656,21.342,1264,Utilities,Electric Utilities,Australia,Australia,Australia,,Grant King,http://www.forbes.com/companies/origin-energy/,-0.0311873301471277,-0.0846496248251303
Delta Lloyd,2.406,6.639,0.1421,79.198,1265,Financials,Diversified Insurance,Europe,Netherlands,Netherlands,,Hans der Noordaa,http://www.forbes.com/companies/delta-lloyd/,0.00179423722821283,0.0214038258773912
SanDisk,15.175,5.565,0.3885,9.231,1266,Information Technology,Computer Storage Devices,North America,United States,California,California,Sanjay Mehrotra,http://www.forbes.com/companies/sandisk/,0.042086447838804,0.069811320754717
Bank of Chongqing,2.512,2.733,0.5058,49.25,1267,Financials,Regional Banks,Asia,China,China,,Wei Gan,http://www.forbes.com/companies/bank-of-chongqing/,0.0102700507614213,0.185071350164654
Edwards Lifesciences,22.937,2.494,0.4949,4.059,1268,Health Care,Medical Equipment & Supplies,North America,United States,California,California,Michael Mussallem,http://www.forbes.com/companies/edwards-lifesciences/,0.121926582902193,0.198436246992783
Pearson,9.799,6.826,-0.4767,17.149,1269,Consumer Discretionary,Printing & Publishing,Europe,United Kingdom,United Kingdom,,John Fallon,http://www.forbes.com/companies/pearson/,-0.0277975392151146,-0.0698359214767067
Taiwan Cooperative Financial,4.901,2.049,0.4119,98.49,1269,Financials,Regional Banks,Asia,Taiwan,Taiwan,,Shih Lin,http://www.forbes.com/companies/taiwan-cooperative-financial/,0.00418215047212915,0.201024890190337
Seiko Epson,6.197,9.16,0.6365,8.331,1271,Industrials,Business Products & Supplies,Asia,Japan,Japan,,Minoru Usui,http://www.forbes.com/companies/seiko-epson/,0.0764013923898692,0.0694868995633188
Actelion,17.947,2.178,0.5868,2.11,1272,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Jean-Paul Clozel,http://www.forbes.com/companies/actelion/,0.278104265402844,0.269421487603306
Hua Nan Financial,4.814,1.747,0.4434,71.553,1273,Financials,Consumer Financial Services,Asia,Taiwan,Taiwan,,Mao Liu,http://www.forbes.com/companies/hua-nan-financial/,0.00619680516540187,0.253806525472238
CF Industries Holdings,7.748,4.308,0.6999,13.078,1274,Materials,Specialized Chemicals,North America,United States,Illinois,Illinois,W Will,http://www.forbes.com/companies/cf-industries-holdings/,0.053517357394097,0.162465181058496
Check Point Software,14.998,1.662,0.6924,5.014,1275,Information Technology,Software & Programming,Asia,Israel,Israel,,Gil Shwed,http://www.forbes.com/companies/check-point-software/,0.138093338651775,0.416606498194946
National Bank of Greece,3.043,5.905,-4.6852,121.194,1276,Financials,Regional Banks,Europe,Greece,Greece,,Leonidas Fragkiadakis,http://www.forbes.com/companies/national-bank-of-greece/,-0.0386586794725811,-0.793429297205758
Union Bank of India,1.376,5.908,0.2879,61.469,1276,Financials,Regional Banks,Asia,India,India,,Arun Tiwari,http://www.forbes.com/companies/union-bank-of-india/,0.00468366168312483,0.0487305348679756
Metro,7.953,9.543,0.4156,4.287,1278,Consumer Staples,Food Retail,North America,Canada,Canada,,Eric La Flèche,http://www.forbes.com/companies/metro-inc/,0.0969442500583158,0.0435502462537986
BS Financial Group,2.828,3.53,0.429,76.994,1279,Financials,Regional Banks,Asia,South Korea,South Korea,,Se-Hwan Sung,http://www.forbes.com/companies/bs-financial-group/,0.00557186274255137,0.121529745042493
Molson Coors Brewing,20.585,3.568,0.3595,12.276,1280,Consumer Staples,Beverages,North America,United States,Colorado,Colorado,Mark Hunter,http://www.forbes.com/companies/molson-coors-brewing/,0.0292847833170414,0.100756726457399
Alstom,5.658,7.341,-1.1716,37.161,1281,Industrials,Conglomerates,Europe,France,France,,Henri Poupart-Lafarge,http://www.forbes.com/companies/alstom/,-0.0315276768655311,-0.159596785179131
Yanzhou Coal Mining,5.906,10.788,0.0813,21.523,1282,Materials,Diversified Metals & Mining,Asia,China,China,,Xi Li,http://www.forbes.com/companies/yanzhou-coal-mining/,0.00377735445802165,0.00753615127919911
Michael Kors Holdings,9.259,4.594,0.8447,2.534,1283,Consumer Discretionary,Apparel/Accessories,Asia,Hong Kong,Hong Kong,,John Idol,http://www.forbes.com/companies/michael-kors-holdings/,0.333346487766377,0.183870265563779
ICA Gruppen,6.508,11.998,0.435,8.886,1284,Consumer Staples,Food Retail,Europe,Sweden,Sweden,,Per Torsten Strömberg,http://www.forbes.com/companies/ica-gruppen/,0.0489534098582039,0.036256042673779
Mitsui OSK Lines,3.004,14.78,0.2541,20.608,1285,Industrials,Other Transportation,Asia,Japan,Japan,,Junichiro Ikeda,http://www.forbes.com/companies/mitsui-osk-lines/,0.0123301630434783,0.017192151556157
Technip,7.052,11.464,0.05,14.849,1286,Energy,Oil Services & Equipment,Europe,France,France,,Thierry Pilenko,http://www.forbes.com/companies/technip/,0.00336723011650616,0.00436147941381717
DSM,10.29,8.563,0.0976,12.952,1287,Materials,Diversified Chemicals,Europe,Netherlands,Netherlands,,Feike Sijbesma,http://www.forbes.com/companies/dsm/,0.00753551575046325,0.0113978745766671
InterContinental Hotels,9.524,1.803,1.2205,3.769,1287,Consumer Discretionary,Hotels & Motels,Europe,United Kingdom,United Kingdom,,Richard Solomons,http://www.forbes.com/companies/intercontinental-hotels/,0.323825948527461,0.676927343316694
Noble Energy,15.627,3.046,-2.442,24.69,1289,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,David Stover,http://www.forbes.com/companies/noble-energy/,-0.098906439854192,-0.801707156927118
