Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
Allianz,79.725,115.424,7.3377,926.157,21,Financials,Diversified Insurance,Europe,Germany,Germany,,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.00792273880130475,0.06357170085944
Volkswagen Group,73.073,246.232,7.06,414.588,22,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Hans Pötsch,http://www.forbes.com/companies/volkswagen-group/,0.0170289540459444,0.0286721465934566
Microsoft,407.015,86.596,10.179,181.869,23,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.0559688567045511,0.117545845073675
BNP Paribas,66.847,74.91,7.4231,2166.292,24,Financials,Major Banks,Europe,France,France,,Jean-Laurent Bonnafé,http://www.forbes.com/companies/bnp-paribas/,0.00342663869875345,0.0990935789614204
Daimler,75.406,165.747,9.3415,235.907,24,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Dieter Zetsche,http://www.forbes.com/companies/daimler/,0.0395982315064835,0.0563599944493716
AXA Group,61.857,129.808,5.8906,965.384,26,Financials,Diversified Insurance,Europe,France,France,,Henri De Castries,http://www.forbes.com/companies/axa-group/,0.0061018206226745,0.045379329471219
Alphabet,500.077,77.231,17.04,149.747,27,Information Technology,Computer Services,North America,United States,California,California,Larry Page,http://www.forbes.com/companies/alphabet/,0.113791929053671,0.220636790925924
Chevron,192.258,129.866,4.587,266.103,28,Energy,Oil & Gas Operations,North America,United States,California,California,John Watson,http://www.forbes.com/companies/chevron/,0.0172376861591188,0.035321023208538
Japan Post Holdings,62.57,129.795,4.3938,2450.733,29,Financials,Life & Health Insurance,Asia,Japan,Japan,,Masatsugu Nagato,http://www.forbes.com/companies/japan-post-holdings/,0.0017928513632452,0.033851843291344
Total,121.917,143.359,5.0341,224.484,30,Energy,Oil & Gas Operations,Europe,France,France,,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.0224252062507796,0.0351153398112431
Sinopec,89.941,283.613,5.124,223.661,31,Energy,Oil & Gas Operations,Asia,China,China,,Qingde Sun,http://www.forbes.com/companies/sinopec/,0.0229096713329548,0.0180668728161262
Johnson & Johnson,312.575,70.236,15.381,133.411,32,Health Care,Medical Equipment & Supplies,North America,United States,New Jersey,New Jersey,Alex Gorsky,http://www.forbes.com/companies/johnson-johnson/,0.115290343374984,0.218990261404408
Nestle,235.701,92.208,9.4155,123.868,33,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,,Paul Bulcke,http://www.forbes.com/companies/nestle/,0.0760123680046501,0.102111530452889
Mitsubishi UFJ Financial,73.516,44.244,7.9219,2458.766,34,Financials,Regional Banks,Asia,Japan,Japan,,Nobuyuki Hirano,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.00322190074207956,0.17905026670283
Comcast,148.187,74.51,8.163,166.574,35,Consumer Discretionary,Broadcasting & Cable,North America,United States,Pennsylvania,Pennsylvania,Brian Roberts,http://www.forbes.com/companies/comcast/,0.049005246917286,0.109555764326936
Bank of Communications,55.652,56.985,10.6015,1101.91,36,Financials,Regional Banks,Asia,China,China,,Qing Hua,http://www.forbes.com/companies/bank-of-communications/,0.00962102168053652,0.186040186013863
Banco Santander,72.526,49.786,6.6223,1455.924,37,Financials,Major Banks,Europe,Spain,Spain,,José Álvarez,http://www.forbes.com/companies/banco-santander/,0.00454852038980057,0.133015305507572
China Merchants Bank,66.759,48.189,9.2025,843.134,38,Financials,Regional Banks,Asia,China,China,,Jian Li,http://www.forbes.com/companies/china-merchants-bank/,0.0109146351588241,0.190966818153521
Procter & Gamble,218.935,69.374,8.446,129.143,39,Consumer Staples,Household/Personal Care,North America,United States,Ohio,Ohio,David Taylor,http://www.forbes.com/companies/procter-gamble/,0.0654003701323339,0.121745899039986
Ford Motor,54.196,149.558,7.373,224.925,40,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mark Fields,http://www.forbes.com/companies/ford-motor/,0.0327798154940536,0.0492985998742963
IBM,142.691,80.836,12.883,118.856,41,Information Technology,Computer Services,North America,United States,New York,New York,Virginia Rometty,http://www.forbes.com/companies/ibm/,0.108391667227569,0.159372061952595
UnitedHealth Group,127.514,165.885,6.011,117.855,41,Health Care,Managed Health Care,North America,United States,Minnesota,Minnesota,Stephen Hemsley,http://www.forbes.com/companies/unitedhealth-group/,0.0510033515760893,0.0362359465895048
General Motors,49.552,152.356,9.687,194.52,43,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mary Barra,http://www.forbes.com/companies/general-motors/,0.049799506477483,0.0635813489458899
Nippon Telegraph & Tel,94.54,94.232,5.5523,172.488,44,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Hiroo Unoura,http://www.forbes.com/companies/nippon-tel-tel/,0.0321894856453782,0.0589215977587232
