Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales
eBay,Consumer Discretionary,Internet & Catalog Retail,North America,United States,71,16,2.9,41.5,250,http://www.forbes.com/companies/ebay/,0.0698795180722891,0.18125
Natixis,Financials,Major Banks,Europe,France,23.6,21.6,1.2,702.9,251,http://www.forbes.com/companies/natixis/,0.00170721297481861,0.0555555555555556
Time Warner Cable,Consumer Discretionary,Broadcasting & Cable,North America,United States,38.2,22.1,1.9,48.3,252,http://www.forbes.com/companies/time-warner-cable/,0.0393374741200828,0.085972850678733
General Dynamics,Industrials,Aerospace & Defense,North America,United States,37.7,31.2,2.4,35.4,253,http://www.forbes.com/companies/general-dynamics/,0.0677966101694915,0.0769230769230769
AbbVie,Health Care,Pharmaceuticals,North America,United States,82.8,18.8,4.1,29.2,254,http://www.forbes.com/companies/abbvie/,0.14041095890411,0.218085106382979
Medtronic,Health Care,Medical Equipment & Supplies,North America,United States,61.7,16.9,3.6,37.2,255,http://www.forbes.com/companies/medtronic/,0.0967741935483871,0.21301775147929
EXOR,Financials,Investment Services,Europe,Italy,10.1,143.7,2.4,170.7,256,http://www.forbes.com/companies/exor/,0.0140597539543058,0.0167014613778706
Bristol-Myers Squibb,Health Care,Pharmaceuticals,North America,United States,85.9,16.4,2.6,38.6,257,http://www.forbes.com/companies/bristol-myers-squibb/,0.0673575129533679,0.158536585365854
KIA Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,22.8,43.5,3.5,34.3,258,http://www.forbes.com/companies/kia-motors/,0.102040816326531,0.0804597701149425
SEB,Financials,Major Banks,Europe,Sweden,30.4,11.9,2.3,386.9,259,http://www.forbes.com/companies/seb/,0.00594468855001292,0.19327731092437
KBC Group,Financials,Major Banks,Europe,Belgium,26.3,17.2,1.3,338.8,260,http://www.forbes.com/companies/kbc-group/,0.0038370720188902,0.0755813953488372
